Ticker,Name,Close,MA5,MA20,MA60,RSI,오늘등락(%),MA20乂(%),Comment,VolumeRatio
CSCO,"Cisco Systems, Inc.",71.06999969482422,72.19599914550781,71.00649986267089,68.90666631062825,51.631276723314414,0.04222801085340677,0.0894281963991217,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.005840286196628
MS,Morgan Stanley,162.36000061035156,163.7239959716797,161.87199859619142,156.21533279418946,53.18226539666291,-0.6486339312633649,0.3014740155136586,MA5 하향 이탈 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.0753121601062658
AMAT,"Applied Materials, Inc.",230.07000732421875,234.4780029296875,229.13150177001953,198.21116739908854,54.950686533682514,-1.4816047073883953,0.40959254705239534,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,0.9916410803403449
INTC,Intel Corporation,38.130001068115234,38.056000518798825,38.313500022888185,31.861999956766763,54.18731107801223,2.3899015830685544,-0.47894072497508544,최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,0.8821405905076304
QCOM,QUALCOMM Incorporated,170.88999938964844,175.4739990234375,172.0519989013672,165.83116658528647,49.1168629531058,-1.3337168587156834,-0.6753769320546499,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 중기 추세 유지,0.7807402531712672
PANW,"Palo Alto Networks, Inc.",212.2899932861328,214.1179962158203,213.98199920654298,203.2346664428711,50.03655574910649,0.435254856506595,-0.7907234845380584,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.1136649273008346
ZS,"Zscaler, Inc.",320.010009765625,325.2799987792969,316.92449951171875,296.3365005493164,54.29281659102611,0.6573969079067377,0.9735789623901203,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.2839326898436834
ETN,"Eaton Corporation, PLC",373.7699890136719,380.17999877929685,377.49099884033205,366.8459981282552,48.38530879118498,-0.9618455064967946,-0.9857214709996454,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.053713240797304
NVDA,NVIDIA Corporation,188.14999389648438,195.402001953125,190.38300094604492,182.69083353678386,47.92443234363761,0.0372139859359244,-1.1729025377603897,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.4163267895684126
GS,"Goldman Sachs Group, Inc. (The)",786.3400268554688,788.672021484375,776.1960083007813,770.8006693522135,53.39881987523996,-0.15744307974658867,1.306888781468274,MA5 하향 이탈 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,0.9508592770876818
CSX,CSX Corporation,35.34000015258789,35.49800033569336,35.831999969482425,34.61966667175293,48.24881234591691,0.5119462626761884,-1.3730738371108608,MA5 하향 이탈 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,0.8741093410529918
GILD,"Gilead Sciences, Inc.",118.83999633789062,121.9740005493164,120.54650039672852,116.39416681925455,48.84764149814663,-3.6953039964363166,-1.4156396521024184,MA5 하향 이탈 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.294935460348092
C,"Citigroup, Inc.",100.79000091552734,101.19000091552735,99.36350059509277,98.39416694641113,54.347424136594796,-0.059491878533990405,1.4356381487077075,MA5 하향 이탈 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.1033374120548827
GLW,Corning Incorporated,85.4800033569336,86.63000030517578,86.76300048828125,79.07516670227051,50.49814700586406,-2.7088518516781845,-1.4787376233270644,MA5 하향 이탈 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.0396525346744472
ASML,ASML Holding N.V. - New York Re,1016.9600219726562,1037.3739868164062,1033.9804931640624,919.1759989420573,50.954918733134605,-1.1892663991367347,-1.646111440586484,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.2281720214860041
DHR,Danaher Corporation,209.94000244140625,212.14200134277343,213.67149963378907,204.7298334757487,48.49247009089818,-0.346511479510081,-1.7463710409568955,MA5 하향 이탈 / RSI 40~55 / 중기 추세 유지,0.7884390053378466
AVGO,Broadcom Inc.,349.42999267578125,355.697998046875,356.5924987792969,337.136501566569,48.365512119747365,-1.7323332280292814,-2.00859696377087,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.0291893528698581
VRTX,Vertex Pharmaceuticals Incorpor,409.4700012207031,418.0780029296875,418.21800231933594,402.4194981892904,45.024277434213246,-1.6288285355668175,-2.091732314275929,MA5 하향 이탈 / 최근 5일 약세 / RSI 40~55 / 거래량 평소 대비 적정 / 중기 추세 유지,1.0002357482797744
